ACTION QUERY 10000 10 Native American casino
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'659520'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'659520'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'659520'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'751799'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'1088208'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'1088208'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'1088208'
ACTION SNIPPET 10000 76 SNIPPET_RELEVANT b'1663305'
ACTION DOC 10000 96 EXAMINING_DOCUMENT b'1663305'
ACTION MARK 10000 99 CONSIDERED_RELEVANT b'1663305'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'453286'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'453286'
ACTION MARK 10000 125 CONSIDERED_RELEVANT b'453286'
ACTION SNIPPET 10000 128 SNIPPET_RELEVANT b'1390982'
ACTION DOC 10000 148 EXAMINING_DOCUMENT b'1390982'
ACTION MARK 10000 151 CONSIDERED_RELEVANT b'1390982'
ACTION SNIPPET 10000 154 SNIPPET_RELEVANT b'449033'
ACTION DOC 10000 174 EXAMINING_DOCUMENT b'449033'
ACTION MARK 10000 177 CONSIDERED_RELEVANT b'449033'
ACTION SNIPPET 10000 180 SNIPPET_RELEVANT b'1528507'
ACTION DOC 10000 200 EXAMINING_DOCUMENT b'1528507'
ACTION MARK 10000 203 CONSIDERED_RELEVANT b'1528507'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'1229201'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'1229201'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'1229201'
ACTION QUERY 10000 239 Native American gaming
ACTION SERP 10000 244 EXAMINE_SERP
ACTION SNIPPET 10000 247 SNIPPET_NOT_RELEVANT b'751799'
ACTION SNIPPET 10000 250 SEEN_PREVIOUSLY b'1390982'
ACTION SNIPPET 10000 253 SEEN_PREVIOUSLY b'1229201'
ACTION SNIPPET 10000 256 SNIPPET_RELEVANT b'1734352'
ACTION DOC 10000 276 EXAMINING_DOCUMENT b'1734352'
ACTION MARK 10000 279 CONSIDERED_RELEVANT b'1734352'
ACTION SNIPPET 10000 282 SNIPPET_RELEVANT b'826423'
ACTION DOC 10000 302 EXAMINING_DOCUMENT b'826423'
ACTION MARK 10000 305 CONSIDERED_RELEVANT b'826423'
ACTION SNIPPET 10000 308 SNIPPET_NOT_RELEVANT b'955215'
ACTION SNIPPET 10000 311 SNIPPET_NOT_RELEVANT b'1621567'
ACTION SNIPPET 10000 314 SNIPPET_RELEVANT b'17426'
ACTION DOC 10000 334 EXAMINING_DOCUMENT b'17426'
ACTION SNIPPET 10000 337 SNIPPET_NOT_RELEVANT b'1740283'
ACTION SNIPPET 10000 340 SEEN_PREVIOUSLY b'1528507'
ACTION QUERY 10000 350 Indian casino
ACTION SERP 10000 355 EXAMINE_SERP
ACTION SNIPPET 10000 358 SNIPPET_NOT_RELEVANT b'1680593'
ACTION SNIPPET 10000 361 SNIPPET_NOT_RELEVANT b'661685'
ACTION SNIPPET 10000 364 SNIPPET_RELEVANT b'784839'
ACTION DOC 10000 384 EXAMINING_DOCUMENT b'784839'
ACTION MARK 10000 387 CONSIDERED_RELEVANT b'784839'
ACTION SNIPPET 10000 390 SNIPPET_RELEVANT b'905381'
ACTION DOC 10000 410 EXAMINING_DOCUMENT b'905381'
ACTION MARK 10000 413 CONSIDERED_RELEVANT b'905381'
